,Rating,Installs,Metric,Reviews,Price,minimum income,Size,Cluster
count,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0
mean,0.8495605947321251,0.011068796366016,0.010809253166061098,0.0077328639943439826,0.0,0.0,0.027587634781220168,2.0
std,0.059746300483680743,0.0,1.7358351220223124e-18,0.0024089858706667893,0.0,0.0,0.0115851002680774,0.0
min,0.5801375400000001,0.011068796366016,0.0108092531660611,9.632584799617433e-08,0.0,0.0,0.0016263799001626,2.0
25%,0.8222931000000001,0.011068796366016,0.0108092531660611,0.0085714869305811,0.0,0.0,0.0253542472483757,2.0
50%,0.8597169,0.011068796366016,0.0108092531660611,0.0085714869305811,0.0,0.0,0.0253542472483757,2.0
75%,0.8881399999999999,0.011068796366016,0.0108092531660611,0.0085714869305811,0.0,0.0,0.0253542472483757,2.0
max,0.9839404,0.011068796366016,0.0108092531660611,0.0085714869305811,0.0,0.0,0.0636269999063627,2.0
