,Rating,Installs,Metric,Reviews,Price,minimum income,Size,Cluster
count,358.0,358.0,358.0,358.0,358.0,358.0,358.0,358.0
mean,0.8450229147032776,3.91395592178771e-05,6.014623621802004e-05,0.00020366995674406992,0.003176445644564401,0.0006481591004324999,0.0182604006685407,1.0
std,0.08337739068821039,0.00019351349988908653,0.0003742164840176718,0.0010197471368530806,8.68575680832972e-19,1.085719601041215e-19,0.015527865073400182,0.0
min,0.5869084400000001,2e-10,1.832292465395573e-10,0.0,0.0031764456445644,0.0006481591004325,5.454600000545462e-06,1.0
25%,0.7777291900000001,2.0000000000000002e-07,2.389600881696603e-07,1.0114214039598304e-06,0.0031764456445644,0.0006481591004325,0.00385367490038535,1.0
50%,0.8582906400000001,2e-06,2.1155730425758015e-06,5.586899183778111e-06,0.0031764456445644,0.0006481591004325,0.01680834990168075,1.0
75%,0.90784312,2e-05,2.0276264904230876e-05,4.678426029864192e-05,0.0031764456445644,0.0006481591004325,0.0253542472483757,1.0
max,1.0,0.002,0.0046289883201103,0.0085714869305811,0.0031764456445644,0.0006481591004325,0.0636269999063627,1.0
