,Rating,Installs,Metric,Reviews,Price,minimum income,Size,Cluster
count,5111.0,5111.0,5111.0,5111.0,5111.0,5111.0,5111.0,5111.0
mean,0.827986345718116,0.0004629163227157112,0.00046666971460774186,0.0008396834515139123,0.0,0.0,0.01779807304957572,0.0
std,0.07823123569740724,0.0007358800242878366,0.0007555412247326382,0.00228308680371029,0.0,0.0,0.01420220141378691,0.0
min,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.7621865309649545,2e-06,1.8737439171246575e-06,6.501994739741766e-07,0.0,0.0,0.0053536899005353,0.0
50%,0.8346354,2e-05,2.106370694807895e-05,2.1312093869153568e-05,0.0,0.0,0.0154446999015444,0.0
75%,0.88903613,0.001,0.0009245018547973,0.00030755639192075,0.0,0.0,0.0253542472483757,0.0
max,1.0,0.002,0.0041687283693668,0.0085714869305811,0.0,0.0,0.0636269999063627,0.0
